"Promotor/a asesor de creditos","Plaza comercial"
"HR Business Partner",""
"Programador Java","Medio tiempo Vespertino"
"Promotor/a asesor de creditos","Plaza comercial"
"Chef Instructor",""
"Subgerente de tienda de autorservicio",""
"Gerente de Sucursal",""
"Desarrollador .net Full Stack","Galerias atizapan"
"Jefe de Plaza y Servicios Comunitarios",""
"Administrador de Proyectos sociales",""
"Jefe de Responsabilidad Social Empresaria",""
"Ejecutivo de ventas Telemarketing y atencion a clientes CDMX","Prestaciones de ley bonos contratacion inmediata "
"Promotor/a asesor de creditos","Plaza comercial"
"Coordinador de Trafico Maritimo y Distribucion Nacional","Licenciatura Terminada / Ingles Avanzado / 16800"
"Auxiliar Administrativo y Cobranza","Manejo de Adminpaq"
"Ejecutivo de Telefonia","Atencion a Clientes"
"Promotor/a asesor de creditos","Plaza comercial"
"Control Vehicular","Temporal"
"Levi s Perisur solicita cajero medio tiempo","Experiencia en boutique de ropa"
"Asesor de ventas educativas","Universidad CNCI Mixcoac"
"Asesor de ventas educativas Azcapotzalco","Universidad CNCI"
"Comprador Jr.",""
"Medico Salud Ocupacional",""
"Acomodador de Autos","Valet Parking"
"Tecnico en electronica Valle oriente",""
"Lider Mobile","Polanco"
"Operador Telefonico Primer empleo Sin experiencia","Medio tiempo Lunes a Viernes"
"Supervisora de Autoservicio","Mega Loreto"
"Electromecanico","TSU en Mantenimiento o afin."
"Auxiliar contable","Urgente"
"Almacenista","Tiempo Completo"
"Auxiliar de Limpieza",""
"Ejecutivo de ventas Movistar","telefonia y accesorios"
"Cobrador Foraneo para Ags/Zac",""
"vendedor a detalle","Con experiencia y licencia tipo A vigente"
"Coordinador de mantenimiento",""
"Consultor/a TI","Ingeniero en sistemas"
"Supervisor de Finanzas","Ingles avanzado y exp en firmas/despachos"
"Supervisora de Autoservicio","Mega Loreto"
"Reclutador/a",""
"Auxiliar de Impuestos Jr","Calle Amores"
"asesor de creditos",""
"Traductor de Japones","Nivel de Japones Intermedio o Avanzado"
"Ingeniero  en Sistemas",""
"Operador de Montacargas","Experiencia de 2 anos"
"Administrativa de Compras",""
"Auxiliar de limpieza Metro Toreo o Auditorio Contratacion","inmediata Prestaciones de ley Vales Despensa"
"Responsable de Farmacia","Tierra Blanca"
"Seguridad","Liverpool Gran Plaza"
"Supervisora de personal","Solo mujeres"
"Auxiliar Contable","Tecnico Contable"
"Call center Primer empleo Sin experiencia","Medio tiempo Lunes a Viernes"
"Asesor de creditos pre autorizados","medio tiempo vespertino"
"Montacarguista HP Y HS","ZONA ANGEL LEANO"
"Gestor de cobranza telefonica","Medio tiempo"
"promotor para tienda departamental","marca importante de linea blanca"
"Chofer repartidor","Turno completo experiencia en carreteras "
"Supervisor de Produccion",""
"Vendedora","Boutique Artz Pedregal"
"Tecnico en electronica","mecatronica o afin Experiencia no necesaria "
"Almacenista","Parque Delta"
"Impresor Flexografico","Prensista"
"Becario/a","Inventarios"
"Auxiliar cuentas  por pagar",""
"Encargado de Infraestructura y Red","Contratacion Inmediata"
"Lider QA","Bilingue"
"Personal de mantenimiento","Huehuetoca"
"Analista de Contratacion de Personal",""
"Asesora de Modas Studio F  Monterrey $6000","Plaza San Agustin"
"Supervisor de Vulcanizado","Empresa Transportes Capricornio"
"Auxiliar contable","Con experiencia minima de 6 meses."
"Ayudante de reparto","puebla Danone"
"Tecnico mantenimiento","Tienda Departamental"
"Ejecutivo Call Center area Comercial//Promotor","Trabaja solo 5 hr diarias/Sb+Com+ IMSS"
"Tramitador de creditos en ruta (No son ventas)","Prestaciones Superiores"
"Cajera Facturista","$6000 mensuales en Iztacalco "
"Analista de credito para Tecnoparque",""
"Becario/a","Marketing"
"Auxiliar de almacen",""
"Administracion de Personal","Ingles avanzado"
"Mesera de Postres","Loma Linda Carso"
"Becario/a","Marketing      Corporativo Lomas"
"Atencion al Cliente","Fte a Cordilleras Manuel J Clouthier Esq Patria"
"Atencion al Cliente en Mostrador","(Av Convencion 2005 Miravalle Fte Plaza San Marcos"
"Asesor Telefonico ((Sin experiencia)) Lunes a Sabado","$7000 Zona Metro Velodromo "
"Gerente de Impuestos",""
"Agente de Viajes Best Day","Interlomas (Ayuda de Transporte)"
"Atencion al Cliente en Mostrador","Fte Central Autobuses (Av Convencion Sur 409"
"Ejecutivo comercial","Experiencia en giro de construccion"
"Auxiliar Contable","Manejo de contabilidad general"
"Auxiliar de nominas",""
"Manejador de alimentos",""
"Ejecutivo de ventas","Seguridad electronica"
"Asesora","Ventas Boutique de Lujo"
